Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_10,Source_11,Source_12,Col15
48.523686,-52.784992,83.423613,-32.078219,34.212716,-13.520876,-2.119192,-6.822975,69.911183,46.1714,26.423814,14.044616,0
16.029766,-17.439745,27.554666,-10.604987,11.300079,-4.469508,-0.690882,-2.254743,23.099698,15.248749,8.731363,4.646457,0
148.352158,-161.391793,255.052476,-98.057176,104.595043,-41.318192,-6.509375,-20.874849,213.751666,141.182019,80.784897,42.925083,0
198.568135,-215.984455,341.33281,-131.243086,140.000607,-55.301416,-8.709633,-27.926111,286.067503,188.957759,108.10792,57.433603,0
174.082435,-189.356583,299.258492,-115.054476,122.749063,-48.486119,-7.630337,-24.494408,250.808476,165.653626,94.779296,50.354933,0
185.797711,-202.096955,319.380222,-122.798758,131.000125,-51.747411,-8.146751,-26.129852,267.673152,176.807811,101.156794,53.740036,0
347.035534,-377.51014,596.603766,-229.372674,244.696966,-96.66827,-15.213872,-48.823525,500.011536,330.27138,188.939832,100.3759,0
14.732006,-16.0313,25.316722,-9.740237,10.388747,-4.112209,-0.639844,-2.068981,21.227872,14.012719,8.024014,4.270598,0
132.685424,-144.343452,228.104495,-87.698304,93.563248,-36.963398,-5.817705,-18.666195,191.180668,126.267257,72.242601,38.386434,0
244.650549,-266.136731,420.589042,-161.701187,172.502265,-68.155792,-10.723714,-34.419275,352.497044,232.828831,133.198901,70.762429,0
69.801797,-75.921663,119.984479,-46.140178,49.210962,-19.442117,-3.051983,-9.815747,100.559263,66.412888,38.007152,20.189839,0
186.306673,-202.665394,320.284851,-123.144429,131.357604,-51.896566,-8.161817,-26.20127,268.429052,177.302791,101.43592,53.886724,0
47.675842,-51.86228,81.961165,-31.521315,33.613938,-13.283652,-2.078949,-6.70788,68.690916,45.364898,25.960958,13.798528,0
144.740123,-157.43682,248.821973,-95.67448,102.05359,-40.315174,-6.331176,-20.356358,208.538516,137.737495,78.801592,41.862863,0
149.719265,-162.86091,257.38154,-98.95948,105.563567,-41.706267,-6.556461,-21.056701,215.710669,142.475659,81.515308,43.302629,0
106.186334,-115.507505,182.551693,-70.190428,74.872257,-29.581983,-4.648644,-14.941711,152.992786,101.044511,57.815453,30.719412,0
96.559738,-105.029493,165.99251,-63.826502,68.080053,-26.897098,-4.227439,-13.582099,139.111194,91.87867,52.574289,27.931542,0
212.443836,-231.093087,365.231733,-140.425001,149.789124,-59.182204,-9.30369,-29.889541,306.090207,202.174409,115.665919,61.444925,0
154.162356,-167.685611,265.024296,-101.896864,108.690505,-42.938247,-6.753559,-21.685802,222.1085,146.698217,83.941612,44.587815,0
83.858849,-91.215825,144.164094,-55.430004,59.123909,-23.361103,-3.673021,-11.792246,120.817745,79.796744,45.662102,24.263285,0
28.799103,-31.328337,49.51044,-19.036816,20.305851,-8.033956,-1.256485,-4.048127,41.492125,27.398485,15.685786,8.337681,0
71.341653,-77.593999,122.63071,-47.154448,50.298082,-19.875267,-3.121774,-10.028662,102.774599,67.880814,38.842746,20.638263,0
59.219728,-64.421051,101.808797,-39.141494,41.758154,-16.499932,-2.585478,-8.334483,85.329451,56.348026,32.251431,17.133999,0
328.415896,-357.270297,564.618304,-217.063597,231.565117,-91.469866,-14.388431,-46.216962,473.207297,312.558005,178.827771,94.992338,0
8.912621,-9.695075,15.305601,-5.898818,6.282375,-2.482333,-0.381021,-1.249665,12.837208,8.472965,4.854395,2.587744,0
125.411758,-136.434453,215.598718,-82.895088,88.429374,-34.935202,-5.495627,-17.648254,180.698241,119.346796,68.284415,36.282774,0
42.936723,-46.710276,73.806609,-28.386456,30.272962,-11.961938,-1.871781,-6.041271,61.864595,40.853395,23.380778,12.425796,0
57.645192,-62.700813,99.089173,-38.111125,40.638278,-16.052678,-2.514652,-8.109922,83.049493,54.848775,31.389568,16.678259,0
248.968689,-270.849609,428.03468,-164.565476,175.542626,-69.344997,-10.907493,-35.028106,358.738383,236.956889,135.561959,72.02355,0
12.352358,-13.440486,21.220459,-8.170766,8.709949,-3.440275,-0.532543,-1.731298,17.792286,11.748732,6.728534,3.583267,0
181.131604,-197.032111,311.370826,-119.70731,127.718683,-50.446664,-7.929794,-25.478699,260.975109,172.368048,98.623768,52.382388,0
139.695511,-151.949502,240.109642,-92.326197,98.496266,-38.903022,-6.127703,-19.643721,201.247493,132.929952,76.054269,40.407653,0
110.801646,-120.511467,190.456033,-73.227721,78.110714,-30.861919,-4.874847,-15.568009,159.609033,105.418832,60.314946,32.053193,0
103.492789,-112.575695,177.908404,-68.409258,72.968637,-28.829484,-4.535806,-14.558547,149.103552,98.480805,56.346662,29.94192,0
43.200227,-46.994716,74.269512,-28.558096,30.452217,-12.037781,-1.894665,-6.075648,62.238136,41.101587,23.528786,12.506889,0
160.472457,-174.556177,275.876356,-106.063863,113.143763,-44.702351,-7.028603,-22.569956,231.206483,152.712642,87.372806,46.416917,0
195.404662,-212.556607,335.916397,-129.152591,137.773413,-54.432306,-8.564811,-27.473948,281.527476,185.958176,106.386972,56.515383,0
40.746429,-44.325002,70.039717,-26.934359,28.727937,-11.351765,-1.78934,-5.736225,58.697765,38.755062,22.190976,11.791856,0
13.3264,-14.498349,22.911026,-8.814547,9.395604,-3.720811,-0.574934,-1.872394,19.20218,12.674802,7.260748,3.864229,0
129.42739,-140.790508,222.510667,-85.549833,91.257432,-36.061286,-5.66808,-18.210577,186.479869,123.168019,70.469844,37.44167,0
60.942824,-66.2877,104.775185,-40.284495,42.966455,-16.983857,-2.667749,-8.571827,87.802168,57.985683,33.185735,17.635186,0
37.068703,-40.319677,63.725707,-24.504994,26.133994,-10.333353,-1.615338,-5.212571,53.404867,35.267329,20.188375,10.727462,0
80.521162,-87.587623,138.433638,-53.226607,56.773281,-22.437728,-3.523815,-11.328973,116.012301,76.620103,43.84247,23.29768,0
57.963205,-63.045717,99.658295,-38.320588,40.863987,-16.152514,-2.533004,-8.155993,83.509979,55.150341,31.562757,16.773949,0
55.415467,-60.278786,95.275988,-36.634775,39.070006,-15.441581,-2.419279,-7.79294,79.846266,52.733267,30.17643,16.039185,0
9.782041,-10.639718,16.8162,-6.467757,6.896193,-2.735945,-0.421373,-1.37161,14.091663,9.29975,5.332367,2.837618,0
54.112712,-58.864917,93.030786,-35.767315,38.15412,-15.085996,-2.369377,-7.610976,77.964206,51.488181,29.467114,15.659324,0
77.350939,-84.144194,132.974102,-51.12319,54.540532,-21.557115,-3.39334,-10.878611,111.443946,73.602111,42.11821,22.380231,0
42.615647,-46.351339,73.270055,-28.169034,30.045028,-11.883882,-1.864708,-5.99404,61.395131,40.543269,23.208001,12.334558,0
