Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_37,Source_38,Source_39,Source_40,Source_41,Source_42,Source_43,Source_44,Source_46,Source_47,Source_49,Source_50,Source_51,Source_52,Source_53,Source_54,Source_55,Source_57,Source_58,Source_59,Source_60,Source_61,Source_62,Source_63,Source_64,Source_65,Source_66,Source_67,Source_68,Source_69,Source_70,Source_71,Source_72,Source_73,Source_74,score_class
116.712753,102.904737,105.191218,-49.917501,181.902099,-45.111913,88.198832,17.852652,51.514402,12.549096,-121.56309,65.666978,56.914471,139.054579,127.264042,-47.254526,-97.023057,-96.408542,-83.512521,33.690526,132.281535,154.240228,-185.978305,-68.572069,138.255427,54.607136,-66.338593,-1.559937,21.568863,-34.3103,111.994043,-90.208889,107.51107,-53.184843,25.143434,-65.46064,-283.775409,205.821117,-343.598005,-13.299205,-46.22147,75.589023,-61.305281,-188.326418,-165.494295,-51.245012,-52.471199,54.570944,38.444333,230.432669,225.902833,257.908491,45.613339,-128.757501,-200.563033,-32.370474,-110.784996,135.344883,96.922468,-70.698211,-61.779324,-29.834659,-41.287797,-108.221955,-218.963073,160.220325,125.055857,95.429483,-81.910153,-198.907949,1
-0.006201,0.011793,0.007605,-0.002013,-0.003679,0.006758,0.004367,-0.003602,-0.005414,0.012538,0.011417,0.004057,-0.009993,-0.01629,-0.005416,-0.002416,-0.01434,0.012289,-0.00543,-0.011111,-0.012776,0.005045,0.002407,-0.003211,0.020136,-0.007468,0.008127,-0.000675,0.007755,0.000686,-0.000007,-0.004208,-0.015436,0.001051,-0.000262,-0.004239,0.007883,0.003799,0.01237,0.016795,-0.013403,-0.001007,-0.000952,0.006963,0.005135,-0.002572,-0.01155,-0.005428,0.007207,-0.018724,-0.028566,-0.011318,-0.024075,0.003273,0.016329,0.007293,-0.013384,-0.002931,0.01066,-0.003597,0.01042,0.005024,-0.005802,-0.005222,0.002941,-0.003062,-0.006771,0.002926,-0.009466,0.006184,1
300.577717,265.004365,270.868501,-128.584822,468.522146,-116.147671,227.141461,45.98123,132.713442,32.273046,-313.199718,169.118704,146.684939,358.275134,327.807241,-121.715255,-249.858809,-248.415556,-215.121182,86.776151,340.773303,397.211987,-479.040855,-176.588404,356.029777,140.710748,-170.905817,-4.00295,55.596084,-88.400359,288.453621,-232.35194,276.965913,-136.961333,64.759802,-168.578003,-731.012521,530.109281,-885.064013,-34.333317,-119.003957,194.651479,-157.890748,-485.068759,-426.263462,-131.950528,-135.115718,140.512484,98.941081,593.646142,582.013065,664.376042,117.574942,-331.627302,-516.658166,-83.385192,-285.31563,348.603111,249.547319,-182.100092,-159.16891,-76.845489,-106.311028,-278.789457,-564.005652,412.660891,322.163513,245.795381,-210.959488,-512.282775,1
579.857772,511.318365,522.641694,-248.075966,904.042052,-224.029389,438.315577,88.690657,256.079024,62.318208,-604.280982,326.24346,283.075292,691.287051,632.42313,-234.839976,-482.035124,-479.272502,-415.073114,167.422402,657.561354,766.37846,-924.282075,-340.745129,686.991917,271.559497,-329.662989,-7.784857,107.21546,-170.499216,556.550735,-448.346093,534.419261,-264.231784,124.923425,-325.208556,-1410.442073,1022.680096,-1707.664931,-66.245908,-229.636338,375.583875,-304.580159,-935.859774,-822.446348,-254.595014,-260.670579,271.152201,190.868714,1145.529223,1122.953316,1281.950357,226.83519,-639.875428,-996.816786,-160.869946,-550.470448,672.649293,481.438501,-351.387572,-307.112754,-148.280637,-205.127184,-537.902166,-1088.114047,796.172086,621.563313,474.183671,-407.024364,-988.419419,1
0.00575,-0.003003,-0.001165,-0.001783,-0.001207,-0.00485,-0.001456,0.001457,-0.004584,-0.004207,0.002177,-0.00005,-0.007055,-0.007211,0.002242,0.004083,0.00038,0.00624,0.005498,0.000468,0.001133,0.001052,0.007944,0.003549,-0.003721,-0.001258,-0.005698,0.002783,-0.001501,-0.00176,-0.004947,0.003037,0.000782,-0.000283,0.004343,-0.001997,0.008314,-0.000824,0.008636,-0.005226,0.000348,-0.000314,0.00089,-0.002408,0.00204,-0.000734,-0.000311,0.003325,0.003396,-0.009718,-0.000825,-0.010693,0.008666,0.000037,0.001507,-0.002942,0.001603,-0.006676,0.007983,0.000828,0.004488,0.003124,0.001314,0.006792,0.001091,-0.000903,-0.003456,0.003577,0.004721,-0.00326,1
84.863523,74.819092,76.476746,-36.308748,132.274931,-32.79664,64.133708,12.986331,37.4735,9.106688,-88.43693,47.752952,41.41824,101.163895,92.560529,-34.360917,-70.547967,-70.138309,-60.739952,24.500841,96.216091,112.151832,-135.255483,-49.859112,100.519446,39.730326,-48.257616,-1.121106,15.696308,-24.964043,81.445722,-65.60585,78.197978,-38.672641,18.287133,-47.594566,-206.400832,149.689045,-249.894707,-9.693689,-33.598042,54.956394,-44.580671,-136.956528,-120.355457,-37.253712,-38.15332,39.679967,27.928717,167.616429,164.326432,187.575519,33.198402,-93.633695,-145.876643,-23.537563,-80.556887,98.42852,70.458664,-51.406701,-44.945214,-21.69496,-30.014548,-78.717545,-159.246061,116.512499,90.955524,69.394843,-59.571058,-144.640687,1
-0.005772,0.015442,0.012622,-0.004181,0.004946,-0.002301,0.005817,-0.014344,0.000774,0.013474,0.011824,-0.012453,-0.002979,-0.011858,-0.012046,0.004441,-0.020579,0.021189,0.00059,-0.006432,0.011711,-0.000943,0.003815,-0.008628,0.038862,-0.004655,0.019108,0.002148,-0.008679,0.009879,0.001071,-0.008589,-0.003052,0.001094,-0.009264,0.009917,0.016239,-0.003259,0.001619,0.005562,-0.013587,0.010554,0.013859,0.003581,0.00139,0.00506,-0.015826,0.012379,0.010918,0.00173,-0.038908,-0.019157,-0.023132,-0.008175,0.011881,-0.002803,0.000563,0.00824,0.00543,-0.000538,0.000772,0.005119,-0.015712,0.003943,0.012742,0.000456,-0.017178,0.005566,-0.01015,-0.009745,0
102.550004,90.406696,92.419992,-43.860111,159.842599,-39.618288,77.488463,15.690426,45.276034,11.011353,-106.853245,57.709001,50.038143,122.231179,111.844152,-41.533547,-85.239931,-84.755421,-73.406072,29.61794,116.25324,135.523738,-163.436803,-60.239838,121.465171,48.007396,-58.304987,-1.377882,18.965636,-30.150238,98.418795,-79.270752,94.484873,-46.720072,22.097597,-57.519172,-249.401713,180.863047,-301.955581,-11.700003,-40.603674,66.406106,-53.881362,-165.495855,-145.441493,-45.021772,-46.098368,47.940031,33.754959,202.530062,198.568364,226.669108,40.104945,-113.135131,-176.265252,-28.443117,-97.348781,118.937065,85.139757,-62.127016,-54.304694,-26.227917,-36.273819,-95.1071,-192.419088,140.787907,109.912176,83.85219,-71.961335,-174.775661,1
417.239023,367.911001,376.052117,-178.479524,650.467409,-161.208865,315.3842,63.797722,184.227052,44.830909,-434.78973,234.727316,203.655986,497.388216,455.031179,-168.992173,-346.86961,-344.841332,-298.664436,120.467111,473.134374,551.411189,-665.023829,-245.160835,494.323503,195.387581,-237.202845,-5.612301,77.146124,-122.661234,400.431033,-322.574553,384.519688,-190.083458,89.878326,-234.002983,-1014.819754,735.844575,-1228.685513,-47.672008,-165.2196,270.240687,-219.161371,-673.384699,-591.747655,-183.17829,-187.584348,195.111918,137.344766,824.214576,807.981972,922.374833,163.201563,-460.386823,-717.220962,-115.73786,-396.073235,483.981164,346.409035,-252.828992,-220.971996,-106.687427,-147.600956,-387.020216,-782.928191,572.86136,447.21935,341.191761,-292.846761,-711.18616,1
35.337174,31.179518,31.883509,-15.125007,55.126922,-13.650409,26.747659,5.394787,15.606493,3.809572,-36.850084,19.880261,17.257536,42.149209,38.548367,-14.321182,-29.409404,-29.204989,-25.323491,10.212066,40.119365,46.721221,-56.358446,-20.778166,41.915213,16.566261,-20.075767,-0.495186,6.527983,-10.363673,33.932472,-27.338203,32.585751,-16.083757,7.609957,-19.826759,-85.997396,62.338829,-104.112504,-4.037989,-14.019947,22.90189,-18.563395,-57.069378,-50.159129,-15.510731,-15.912113,16.553266,11.641995,69.870011,68.459388,78.165985,13.816432,-39.012801,-60.760791,-9.797547,-33.566209,41.032599,29.358918,-21.436412,-18.723394,-9.045912,-12.528514,-32.785908,-66.328372,48.544565,37.87861,28.906972,-24.808369,-60.275199,1
