Col1,Col2,Col3,Col6,Col7,Col8,Col10,Col13,Col15
0,0,56,301963,90612,33735,27946,8293,0
0,0,40,73787,28083,1439,2746,2740,0
0,0,47,758353,383745,201999,36293,25354,0
0,0,47,2012240,129350,61236,11488,33932,0
0,0,44,1005145,354328,37102,45307,29749,0
0,0,44,1786446,176766,59352,15054,31750,0
0,0,43,635191,122446,90107,36230,59307,0
0,0,40,161098,12119,1963,1277,2518,0
0,0,43,492796,120998,63697,10769,22676,0
0,0,47,82048,116131,47317,41642,41810,0
0,0,48,757165,186196,3242,18854,11928,0
0,0,44,667513,141854,75050,45926,31839,0
0,0,47,165360,42119,3158,7270,8148,0
0,0,48,737665,84275,2235,21705,24735,0
0,0,47,577024,179555,25937,43790,25586,0
0,0,57,234964,80944,7991,11828,18147,0
0,0,57,671467,133227,7142,23373,16501,0
0,0,70,33290,14729,10980,14316,36306,0
0,0,74,1025416,268122,67285,10083,26345,0
0,0,67,756442,97387,59785,16122,14331,0
0,0,70,87109,7200,4987,2130,4922,0
0,0,57,802937,83858,3229,27104,12191,0
0,0,53,157687,283941,27259,15132,10121,0
0,0,41,613031,758257,246386,26636,56127,0
0,0,27,603204,47342,3215,1863,1523,0
0,0,29,234796,182944,53997,19633,21433,0
0,0,30,188099,144504,3546,16381,7338,0
0,0,37,632782,162376,12692,5848,9851,0
0,0,30,477853,264240,217609,22228,42550,0
0,0,26,731447,69065,23286,4767,2111,0
0,0,20,1099119,673426,74729,67019,30954,0
0,0,20,1969931,185293,41196,7827,23871,0
0,0,35,1363838,316172,61645,186966,18933,0
0,0,48,637681,30439,21521,12856,17686,0
0,0,63,423411,128048,70321,22889,7383,0
0,0,61,585120,237694,71643,58807,27424,0
0,0,54,1103969,83627,68911,44447,33393,0
0,0,51,480086,206751,11652,7894,6963,0
0,0,57,48448,6377,2890,4016,2278,0
0,0,69,9313,15189,17884,11743,22119,0
0,0,80,252800,41805,23580,15411,10415,0
0,0,67,195366,65596,512,6602,6335,0
0,0,69,18403,26289,2162,24282,13761,0
0,0,77,11723,35281,6055,24186,9906,0
0,0,66,233282,30666,43745,14309,9471,0
0,0,70,150690,14877,3795,2292,1672,0
0,0,74,18823,6577,10996,7642,9248,0
0,0,69,341908,33036,30789,5032,13219,0
