num_critic_for_reviews,duration,director_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,num_user_for_reviews,actor_2_facebook_likes,movie_facebook_likes,score_class,,
723,178,0,1000,760505847,886204,4834,3054,936,33000,1,,
302,169,563,40000,309404152,471220,48350,1238,5000,0,1,,
602,148,0,11000,200074175,275868,11700,994,393,85000,1,,
813,164,22000,27000,448130642,1144337,106759,2701,23000,164000,1,,
140.194272,107.201074,131,131,48468407.53,8,143,272.770808,12,0,1,,
462,132,475,640,73058679,212204,1873,738,632,24000,1,,
392,156,0,24000,336530303,383056,46055,1902,11000,0,0,,
324,100,15,799,200807262,294810,2036,387,553,29000,1,,
635,141,0,26000,458991599,462669,92000,1117,21000,118000,1,,
375,153,282,25000,301956980,321795,58753,973,11000,10000,1,,
673,183,0,15000,330249062,371639,24450,3018,4000,197000,1,,
434,169,0,18000,200069408,240396,29991,2367,10000,0,0,,
403,106,395,451,168368427,330784,2023,1243,412,0,1,,
313,151,563,40000,423032628,522040,48486,1832,5000,5000,1,,
450,150,563,40000,89289910,181792,45757,711,2000,48000,1,,
733,143,0,15000,291021565,548573,20495,2536,3000,118000,1,,
258,150,80,22000,141614023,149922,22697,438,216,0,1,,
703,173,0,26000,623279547,995415,87697,1722,21000,123000,1,,
448,136,252,40000,241063875,370704,54083,484,11000,58000,1,,
451,106,188,10000,179020854,268154,12572,341,816,40000,1,,
422,164,0,5000,255108370,354228,9152,802,972,65000,1,,
599,153,464,15000,262030663,451803,28489,1225,10000,56000,1,,
343,156,0,891,105219735,211765,3244,546,882,17000,1,,
509,186,0,5000,258355354,483540,9152,951,972,83000,1,,
251,113,129,16000,70083519,149019,24106,666,6000,0,0,,
446,201,0,6000,218051260,316018,7123,2618,919,0,1,,
315,194,0,29000,658672302,793059,45223,2528,14000,26000,1,,
516,147,94,21000,407197282,272670,64798,1022,19000,72000,1,,
377,131,532,14000,65173160,202382,26679,751,10000,44000,0,,
644,124,365,3000,652177271,418214,8458,1290,2000,150000,1,,
750,143,0,883,304360277,522030,2039,1498,563,80000,1,,
300,135,0,24000,373377893,411164,43388,1303,11000,0,1,,
608,195,1000,21000,408992272,557489,30426,1187,4000,95000,1,,
451,108,13000,40000,334185206,306320,79957,736,25000,24000,1,,
