-0.365Col11-0.357Col10-0.355Col13-0.344Col9-0.342Col12...,'0.409Col4+0.4  Col8+0.339Col7+0.328Col6-0.322Col12...',-0.516Col3+0.489Col1-0.412Col4-0.271Col12+0.266Col2...,-0.875Col2-0.334Col5+0.324Col1+0.067Col6-0.064Col10...,'0.832Col5+0.431Col1+0.18 Col6+0.173Col4+0.142Col3...',-0.628Col1-0.363Col2-0.359Col3+0.333Col5-0.261Col4...,-0.809Col6+0.301Col9+0.263Col10+0.238Col8+0.222Col1...,Col15
0.523142,-0.417935,-1.570776,0.696555,-0.192047,1.385562,0.043914,0
1.369894,-0.916932,-0.734243,0.892509,-0.746289,1.629879,0.102062,0
-1.713305,0.922418,-1.770298,0.753355,-0.452425,1.435253,0.031762,0
-0.43678,0.509299,-1.240702,0.979432,-0.076032,1.160405,-2.303965,0
-1.147428,0.47971,-1.571375,0.870468,-0.560675,1.284539,-0.551227,0
-0.220777,0.787044,-1.286498,0.874245,0.03936,1.298464,-1.862635,0
-0.725446,0.205086,-2.155178,0.634255,-0.332382,0.979668,-0.051123,0
1.631469,-0.441067,-1.180428,0.830601,-0.448636,1.358462,-0.071204,0
-0.171412,0.020608,-1.997058,0.821836,-0.448677,0.878315,-0.236444,0
0.340727,-0.031729,-2.041337,0.710152,-0.656293,0.972285,0.42982,0
0.38158,-0.493171,-1.066049,0.929454,-0.553655,1.424991,-0.844053,0
-0.381142,-0.138206,-1.537005,0.731946,-0.508371,1.34229,-0.295374,0
1.125889,-0.92484,-0.993417,0.80854,-0.484833,1.570899,0.010112,0
0.01808,-0.795162,-1.150751,0.931371,-0.732192,1.289977,-0.663092,0
-0.133372,-0.323647,-1.565629,0.772394,-0.522074,1.278026,-0.343328,0
0.598662,-0.719291,-1.660486,0.856616,-0.539144,1.060648,-0.107221,0
0.295526,-0.563535,-1.501131,0.835835,-0.323588,1.227308,-0.68232,0
0.825812,-1.023293,-2.065944,0.812274,-0.583822,0.767615,0.04306,0
-0.371694,0.22593,-2.011747,1.029249,-0.518993,0.722916,-1.1345,0
0.391313,0.214538,-1.885446,0.881739,-0.268994,0.924302,-0.611362,0
1.877569,-0.178263,-2.059183,0.774599,-0.088741,0.85134,-0.044584,0
0.8555,-0.01798,-1.428816,0.855304,-0.267523,1.222493,-0.749411,0
0.439284,0.002031,-1.568471,0.818673,-0.521368,1.325891,0.207364,0
-2.940011,1.62474,-1.905117,0.63743,-0.568539,1.684925,0.654881,0
0.992281,-0.749331,-0.337983,0.88631,-0.541842,1.898372,-0.544456,0
-0.011368,-0.456647,-1.18262,0.741525,-0.58826,1.594802,0.168398,0
0.733657,-0.864759,-0.612537,0.832796,-0.73971,1.848673,0.045977,0
0.491218,-0.826056,-0.371966,0.962816,-0.76803,1.865346,-0.584174,0
-1.485623,0.548916,-1.261702,0.67202,-0.685579,1.773025,0.620562,0
0.697677,-0.558671,-0.516902,0.734931,-0.134057,1.987565,-0.604351,0
-2.164428,1.09994,-1.072875,0.770704,-0.742054,1.938116,-0.361643,0
-0.239742,0.637069,-0.576011,0.938889,-0.10856,1.675005,-2.160337,0
-2.648818,0.777367,-1.592116,0.800307,-1.078187,1.458377,-0.479521,0
0.683139,-0.457022,-1.301953,0.900336,-0.494179,1.207663,-0.608391,0
0.558329,0.069953,-1.771933,0.862192,-0.416377,1.073945,-0.214338,0
-0.395183,0.544339,-1.952093,0.764247,-0.515925,1.13421,0.040137,0
-0.205128,0.297759,-2.041938,0.692276,-0.023302,0.976405,-0.975783,0
0.341852,-0.611202,-1.610683,0.92302,-0.467342,1.071969,-0.712025,0
1.624129,-0.579448,-1.469326,0.806864,-0.352508,1.226282,0.082028,0
1.333591,-0.360676,-2.059709,0.795954,-0.398094,0.830053,0.22383,0
1.154186,-0.126865,-2.242611,0.883299,-0.343864,0.646205,-0.156881,0
1.553066,-0.347985,-1.682278,0.818918,-0.254639,1.098906,-0.134418,0
1.149419,-0.579009,-1.938327,0.796314,-0.423643,0.94601,0.214522,0
1.08067,-0.726269,-1.885245,0.860784,-0.534235,0.938531,0.19185,0
0.947613,-0.209636,-1.663032,0.850433,-0.469282,1.100479,0.120478,0
1.891747,-0.128619,-1.929764,0.79981,-0.112066,0.922639,-0.103736,0
1.739283,-0.14251,-2.328009,0.787201,-0.166829,0.652348,0.045619,0
1.31336,0.203443,-2.450825,0.82564,-0.123272,0.511661,-0.365904,0
1.802973,-0.064013,-2.579576,0.824216,-0.165063,0.468807,0.081011,0
1.318444,0.151357,-2.536591,0.812665,-0.111963,0.564761,-0.147131,0
1.564889,-0.209746,-2.296334,0.792148,-0.202458,0.697589,0.058909,0
1.430647,-0.243726,-2.363551,0.859351,-0.427743,0.564645,0.13583,0
1.76227,-0.283893,-1.872124,0.86405,-0.316989,0.892201,-0.057665,0
0.311605,0.466481,-2.356208,0.878569,-0.315345,0.67616,-0.3895,0
1.861932,-0.231686,-2.050484,0.913657,-0.327084,0.719336,-0.122278,0
0.900268,-0.448968,-1.952824,0.891184,-0.432683,0.839467,-0.333478,0
1.073092,-0.685521,-2.279888,0.827469,-0.329163,0.664121,-0.058384,0
1.808028,-0.45192,-1.938205,0.883983,-0.287229,0.841856,-0.082552,0
1.473057,-0.50794,-2.377721,0.911213,-0.31641,0.501058,-0.146546,0
1.652121,-0.269364,-2.460882,0.83007,-0.211456,0.569991,0.047049,0
1.18944,-0.549048,-2.671957,0.862626,-0.354793,0.369004,-0.078108,0
1.188584,-0.166895,-2.692889,0.9599,-0.58402,0.262555,0.079992,0
1.118304,-0.051511,-2.095961,0.841211,-0.445266,0.826068,0.262346,0
1.107223,-0.673534,-2.807487,0.82967,-0.296351,0.246073,-0.061407,0
1.986351,-0.058893,-2.091605,0.854835,-0.133915,0.746672,-0.200975,0
1.27017,-0.698457,-2.610032,0.774176,-0.277981,0.439844,0.029513,0
1.51227,-0.122999,-2.861177,0.844304,-0.190766,0.2509,0.05909,0
1.451701,-0.230722,-2.436925,0.810251,-0.119399,0.574517,-0.277412,0
1.616522,-0.087201,-2.469234,0.820358,-0.248232,0.567709,0.196372,0
1.83208,-0.019866,-2.383428,0.745254,-0.056118,0.694817,0.150018,0
1.638053,-0.150493,-2.33479,0.848202,-0.19804,0.584799,-0.17118,0
1.929783,-0.039014,-2.105049,0.838805,-0.208624,0.766091,-0.03446,0
1.462261,-0.362577,-2.228131,0.855944,-0.393281,0.682493,0.101199,0
1.163095,-0.138679,-2.024573,0.822669,-0.358352,0.871716,0.039142,0
1.081168,-0.552788,-1.671067,0.893431,-0.658045,1.008219,0.017653,0
1.012714,-0.7775,-1.960406,0.813477,-0.347673,0.935401,0.010219,0
1.170291,-0.64115,-1.83887,0.839521,-0.446582,0.944731,0.005007,0
0.57689,-0.392651,-1.744273,0.995703,-0.850851,0.898413,-0.047851,0
1.12483,-0.381206,-2.094078,0.897796,-0.381666,0.723591,-0.103909,0
1.34093,-0.711918,-2.35674,0.827808,-0.349237,0.569853,-0.047947,0
1.00378,-0.495636,-2.379526,0.937824,-0.597405,0.481178,-0.087173,0
1.389498,-0.203919,-1.731768,0.950589,-0.408699,0.922638,-0.403466,0
0.741512,-0.486104,-1.831883,0.838979,-0.542005,1.021025,0.150379,0
0.548356,-0.548726,-1.566614,0.845801,-0.446886,1.186322,-0.250401,0
1.027374,-0.840597,-1.854492,0.692803,-0.210899,1.090399,0.124876,0
1.396018,-0.438649,-1.306989,0.884119,-0.433205,1.279859,-0.237031,0
1.043281,-0.275283,-1.031526,0.935647,-0.41692,1.391518,-0.755334,0
1.083791,-0.792361,-1.564647,0.790804,-0.477173,1.193869,0.152353,0
1.038866,-0.901721,-1.459338,0.64681,-0.165931,1.453149,0.259976,0
1.66245,-0.554473,-1.295956,0.887731,-0.475804,1.259072,-0.055938,0
0.557223,-0.461912,-1.920327,0.763385,-0.384617,1.009798,0.027988,0
1.449332,-0.640503,-1.875815,0.829965,-0.390883,0.922174,0.063359,0
1.288983,-0.632417,-2.00216,0.850217,-0.506359,0.822806,0.117722,0
1.752238,-0.382855,-2.226919,0.85142,-0.274781,0.684397,0.056196,0
1.575914,-0.082893,-2.175836,0.846635,-0.203281,0.748875,-0.069675,0
1.662399,-0.204205,-2.43825,0.818766,-0.23783,0.562357,0.127543,0
1.65453,-0.107529,-1.632822,0.884592,-0.189727,1.04238,-0.489946,0
1.28339,-0.704185,-2.166533,0.829406,-0.444156,0.673924,-0.061861,0
0.887479,0.007483,-2.096887,0.7493,-0.253585,0.936198,0.068646,0
1.172807,-0.484759,-2.041603,0.792168,-0.518811,0.799792,0.152622,0
0.665386,0.087947,-2.810119,0.725797,-0.078488,0.354147,-0.249785,0
1.349972,0.224075,-1.726617,0.872938,-0.269024,0.983635,-0.533093,0
0.726043,-0.519104,-1.957541,0.852788,-0.416438,0.863376,-0.413948,0
0.331795,-0.331503,-1.833827,0.808967,-0.479992,1.024339,-0.116893,0
1.168521,-0.616023,-1.114813,0.846604,-0.424442,1.438399,-0.250068,0
-0.295419,-0.519125,-2.125934,0.97329,-0.629964,0.66364,-0.588864,0
0.86615,0.177694,-1.577222,0.655766,0.184065,1.385328,-0.457561,0
1.671563,-0.270745,-1.435499,0.802788,-0.322999,1.2324,-0.0507,0
0.301538,-0.416376,-2.328014,0.740501,-0.604211,0.665948,0.202323,0
0.87003,0.018883,-1.326457,0.748658,-0.14071,1.424361,-0.513593,0
-3.061121,2.459089,-1.511846,0.642363,0.091206,1.757649,-1.709684,0
1.532454,-0.048324,-1.339364,0.768157,-0.098401,1.308687,-0.445084,0
-1.331512,0.826607,-1.031234,0.821753,0.040613,1.564353,-2.400781,0
0.920019,-0.164835,-1.372493,0.567634,-0.113766,1.565773,0.224693,0
0.731891,-0.13101,-0.937561,0.774787,-0.269002,1.598732,-0.73382,0
-0.596983,0.56274,-1.225356,0.808155,-0.309373,1.458703,-0.861542,0
-2.249717,2.187414,-1.090073,0.847402,0.078262,1.598385,-1.930575,0
-0.247606,0.830556,-1.442577,0.721374,-0.265017,1.441732,-0.279956,0
0.323361,0.579274,-1.518662,0.747842,-0.039021,1.265984,-1.032871,0
-2.555302,0.333689,-1.546611,0.949712,-0.454551,1.097589,-2.89683,0
-1.588019,1.463068,-1.223973,1.055143,-0.33924,1.103458,-2.180827,0
-4.188514,3.584131,-2.259342,0.504271,-0.112395,1.423242,0.295292,0
-1.51277,1.921044,-1.430894,0.837193,-0.044194,1.398361,-1.595547,0
0.797086,0.472532,-1.339862,0.7609,-0.002278,1.345829,-1.037797,0
0.748974,0.041312,-0.859852,0.751581,-0.23539,1.69332,-0.671104,0
-5.585485,1.807374,-1.75191,0.753434,-0.813291,1.632198,-0.988203,0
-0.129545,-0.257991,-0.722718,0.829056,-0.884849,1.740557,0.076902,0
1.122867,-0.592529,-0.751803,0.749438,-0.53045,1.775586,0.164858,0
-2.36172,1.190178,-1.626552,0.826418,-0.225006,1.244249,-1.795218,0
