K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,K12,Col15
58602.207023,-77531.790299,74.478185,581123.830549,235054.883044,-96.994845,702152.612779,-156847.59293,235054.883044,-14363.897347,-507016.304696,-105978.992763,0
2622.324923,-6403.391836,60.621778,136944.5971,55027.254156,-69.282032,174204.474073,-48571.900797,55027.254156,-4745.819213,-122514.881823,-13932.616696,0
350037.075905,-225838.640697,83.138439,1412911.78602,890760.821367,-81.406388,2052779.851759,-664584.430763,890760.821367,-43914.416175,-1321930.6212,-162007.372286,0
106243.996536,-108114.611408,98.726896,3571925.242011,332228.129501,-81.406388,3729167.742525,-223959.365571,332228.129501,-58771.948002,-3428359.014673,-106413.737515,0
64430.557991,-172455.102757,91.798693,1818618.706931,786231.555131,-76.210236,2321720.576802,-613637.888309,786231.555131,-51526.779474,-1817330.06113,-156036.993152,0
102991.20512,-58113.768696,114.315353,3152968.132422,364484.111691,-76.210236,3358401.482555,-306091.482815,364484.111691,-54992.61314,-3081008.34957,-84548.328121,0
156263.891808,-91531.956977,119.511506,1209539.576348,303914.29495,-74.478185,1188666.632066,-212008.214999,303914.29495,-102722.737244,-1103879.280934,-171718.981164,0
3574.952867,-5452.495942,105.655099,284788.989933,26509.03761,-69.282032,299776.425571,-20921.441705,26509.03761,-4361.303933,-274774.272164,-7832.333752,0
110520.42998,-153014.564493,119.511506,981445.805499,362693.171156,-74.478185,1058766.2856,-209500.205429,362693.171156,-39275.984112,-843997.181614,-146356.561189,0
82156.365955,-50018.163221,119.511506,198508.611005,251142.170945,-81.406388,275461.896334,-201063.385946,251142.170945,-72417.044264,-131105.853828,-128467.940448,0
5764.265088,-74455.668065,65.817931,1392548.064676,397015.489959,-83.138439,1681151.030487,-322417.793727,397015.489959,-20659.902033,-1237042.811121,-113731.652177,0
130149.761782,-59547.906764,83.138439,1286061.581026,305447.159915,-76.210236,1378348.712155,-245622.125021,305447.159915,-55146.765662,-1054597.239306,-209226.541402,0
5610.112566,-33418.188281,58.889727,305705.235485,106661.420781,-81.406388,368124.882488,-72870.841576,106661.420781,-14112.74998,-278222.785321,-31639.372102,0
4006.233518,-49098.444242,51.961524,1417804.829552,195060.097847,-83.138439,1362777.575395,-145885.443369,195060.097847,-42842.276725,-1204617.087953,-177795.015397,0
45088.746623,-76757.563588,83.138439,1119500.647167,387956.864235,-81.406388,1305656.271812,-310916.976365,387956.864235,-44316.251962,-916990.998797,-195707.884849,0
14014.023084,-110125.522396,74.478185,478156.874141,250499.580095,-98.726896,569628.209339,-140100.393672,250499.580095,-31431.526005,-392342.41688,-91547.545434,0
12538.315796,-113258.802307,69.282032,1246229.608605,344362.877459,-98.726896,1454028.940141,-230657.206044,344362.877459,-28580.570376,-1104887.334504,-123408.620039,0
19208.443456,-64115.324744,69.282032,162350.318346,89791.245915,-121.243557,66541.927925,-25390.132788,89791.245915,-62883.83662,28892.339521,-129425.764545,0
116745.420583,-140105.589824,76.210236,1932400.588582,604395.6652,-128.17176,2270758.445891,-464272.754867,604395.6652,-45630.878525,-1683660.772107,-174007.020281,0
103758.503627,-91911.276104,91.798693,1387584.007061,260749.856775,-116.047404,1490280.763544,-168563.184593,260749.856775,-24822.020123,-1288786.096947,-105201.30195,0
8873.296287,-19431.87801,114.315353,167525.686159,32238.661681,-121.243557,169711.534278,-12349.522258,32238.661681,-8525.154075,-139437.018213,-20015.579132,0
5783.317646,-30641.710837,91.798693,1423631.448468,176061.232539,-98.726896,1531998.939295,-145147.589725,176061.232539,-21115.431395,-1371664.728089,-79689.925605,0
47394.106248,-66077.738309,88.334591,328001.925531,558030.397132,-91.798693,730605.011395,-491708.439659,558030.397132,-17530.086223,-301408.017432,-80943.93039,0
426910.686897,-144951.867984,86.60254,1225845.10265,1458568.645308,-71.014083,2194497.980885,-1313268.635112,1458568.645308,-97214.815676,-1126705.978527,-209870.864302,0
5679.394598,-12377.235071,64.08588,1058548.047198,94486.835654,-46.765372,1131760.102783,-81951.98396,94486.835654,-2637.91338,-1036008.870039,-16849.390256,0
93662.37947,-116078.581022,86.60254,457807.009203,433173.782617,-50.229473,748587.162879,-316818.073466,433173.782617,-37123.044959,-409955.641542,-84834.116504,0
6254.435466,-38642.053517,60.621778,351356.89862,289023.854157,-51.961524,592513.79666,-250236.308373,289023.854157,-12709.788826,-309936.635608,-53821.746794,0
22083.647797,-39892.5942,36.373067,1135035.41086,321111.827418,-64.08588,1393147.354255,-281179.39605,321111.827418,-17062.432505,-1063846.390618,-49233.544205,0
377032.819792,-67226.087994,71.014083,943863.767077,525060.81001,-51.961524,1146624.562814,-457625.143868,525060.81001,-73698.761862,-844047.411087,-154502.396137,0
40452.046611,-21868.873496,74.478185,1299055.426185,142040.290576,-45.033321,1389669.396234,-119579.055704,142040.290576,-3656.359255,-1250945.982954,-39802.527558,0
129566.06066,-86945.486438,96.994845,2056980.074967,1253351.801525,-34.641016,2942016.468415,-1166373.406122,1253351.801525,-53613.900697,-1911991.833916,-269207.460868,0
71504.253489,-61486.071618,116.047404,3450669.561125,382464.531124,-34.641016,3715378.886046,-320902.249271,382464.531124,-41345.784827,-3411255.012948,-52001.361396,0
106916.03225,-296837.13535,83.138439,2466199.594916,844253.525133,-60.621778,3141661.30475,-547565.346152,844253.525133,-32792.91794,-2290122.77392,-427962.041737,0
37441.742307,-91448.818538,83.138439,1140212.510724,144215.746391,-83.138439,1200697.456975,-52638.756093,144215.746391,-30633.050583,-1086205.434493,-57938.831564,0
121996.998631,-122734.852275,88.334591,772822.017778,344634.809436,-109.119201,1055707.483874,-221676.522607,344634.809436,-12787.731112,-703519.200866,-79024.818095,0
124286.769799,-64960.565538,91.798693,1100202.137069,476764.305291,-105.655099,1360827.286186,-411592.429555,476764.305291,-47499.761347,-1008699.624956,-188523.338099,0
119566.931348,-55051.502868,116.047404,2063132.319436,200313.407946,-93.530744,2033443.236543,-144752.682141,200313.407946,-57838.372617,-1782728.882148,-227525.658184,0
20356.793141,-210903.166584,86.60254,914581.716124,569164.019723,-88.334591,1379968.17966,-358014.901924,569164.019723,-12060.269773,-757309.770746,-96567.028674,0
5190.95627,-17677.310542,86.60254,101144.838959,28973.745909,-98.726896,100859.050576,-10946.561104,28973.745909,-3945.61174,-75006.460222,-23959.458821,0
31192.502994,-42982.572841,96.994845,37547.397406,69455.237384,-119.511506,16778.376173,-26188.60821,69455.237384,-38311.231813,-25352.02767,-41636.769363,0
41073.852851,-90056.249689,93.530744,487541.125416,162591.073408,-138.564065,549553.740479,-72269.819946,162591.073408,-18039.309161,-421125.6372,-76334.943191,0
1091.192009,-15578.064963,88.334591,359507.929721,129467.333764,-116.047404,452363.173514,-113499.557369,129467.333764,-10972.541866,-322021.154092,-32340.852679,0
3945.61174,-78002.908119,81.406388,60571.548791,123794.867369,-119.511506,104288.511175,-45414.372174,123794.867369,-23834.751163,-30944.819728,-70572.410154,0
10679.825279,-94436.606181,58.889727,57465.981694,155746.008617,-133.367912,137185.352163,-60975.11663,155746.008617,-17157.6953,-4977.914021,-79000.569384,0
75957.356115,-34136.989366,74.478185,448945.837271,87383.695293,-114.315353,419688.03503,-53000.754712,87383.695293,-16404.253198,-414606.19796,-69621.514261,0
6803.495572,-7416.641558,109.119201,273502.946871,33484.006212,-121.243557,285826.488367,-25646.476308,33484.006212,-2895.98895,-254554.311036,-16194.675051,0
19293.313946,-53130.658522,119.511506,56610.348595,64778.700203,-128.17176,71632.425249,-11263.526402,64778.700203,-16018.005868,-18572.78081,-37005.265504,0
53586.187885,-89642.289546,138.564065,645213.174531,147023.40075,-119.511506,688426.110129,-57100.518973,147023.40075,-22895.979625,-567274.352292,-61527.640837,0
6015.412455,-66664.903533,109.119201,27317.905337,75080.938406,-155.884573,62689.846929,-8012.467036,75080.938406,-12614.526032,-17284.135009,-39800.795507,0
17240.833739,-46086.407888,103.923048,501446.029299,209843.151489,-155.884573,601420.001912,-163294.286036,209843.151489,-17916.333553,-422731.248298,-94400.233114,0
26664.922183,-26389.526104,105.655099,119412.778826,76838.969976,-133.367912,86223.221252,-50028.555526,76838.969976,-7756.123516,17545.674681,-95423.875141,0
22804.180932,-65293.119293,98.726896,62450.823918,81117.135471,-140.296115,50672.878426,-15612.705979,81117.135471,-20961.278873,7934.524749,-80381.013878,0
8743.392477,-37947.501143,98.726896,171706.856808,79537.505134,-121.243557,227671.150452,-41328.464319,79537.505134,-4813.369194,-151187.250891,-17013.935083,0
130080.47975,-174732.749569,103.923048,1052517.046286,431737.912498,-133.367912,1392620.81081,-256773.06812,431737.912498,-20093.521419,-980500.105758,-110130.718548,0
4156.921938,-29647.513673,88.334591,237862.537403,54739.733722,-145.492268,265895.779724,-24858.39319,54739.733722,-8137.174694,-222724.413345,-15422.180391,0
9553.992255,-58415.145536,74.478185,682140.497748,229042.934691,-129.903811,754798.297075,-170350.661026,229042.934691,-24641.886839,-517353.183916,-123301.232889,0
18882.817904,-91895.687646,83.138439,215907.061367,141815.123971,-133.367912,183586.993297,-49465.639013,141815.123971,-11114.570032,12462.10556,-149647.457723,0
5229.061388,-27911.998764,74.478185,187303.97433,47165.475541,-145.492268,204704.156743,-18884.549955,47165.475541,-5447.29979,-145767.663914,-24347.438202,0
2293.235269,-100782.84034,74.478185,249952.25204,110643.405587,-162.812776,281000.994817,-9491.638425,110643.405587,-21518.999233,-199665.620944,-48722.589217,0
