K1,K2,K3,K4,K5,K6,Col15
58602.207023,-77531.790299,74.478185,581123.830549,235054.883044,-96.994845,0
2622.324923,-6403.391836,60.621778,136944.5971,55027.254156,-69.282032,0
350037.075905,-225838.640697,83.138439,1412911.78602,890760.821367,-81.406388,0
106243.996536,-108114.611408,98.726896,3571925.242011,332228.129501,-81.406388,0
64430.557991,-172455.102757,91.798693,1818618.706931,786231.555131,-76.210236,0
102991.20512,-58113.768696,114.315353,3152968.132422,364484.111691,-76.210236,0
156263.891808,-91531.956977,119.511506,1209539.576348,303914.29495,-74.478185,0
3574.952867,-5452.495942,105.655099,284788.989933,26509.03761,-69.282032,0
110520.42998,-153014.564493,119.511506,981445.805499,362693.171156,-74.478185,0
82156.365955,-50018.163221,119.511506,198508.611005,251142.170945,-81.406388,0
5764.265088,-74455.668065,65.817931,1392548.064676,397015.489959,-83.138439,0
130149.761782,-59547.906764,83.138439,1286061.581026,305447.159915,-76.210236,0
5610.112566,-33418.188281,58.889727,305705.235485,106661.420781,-81.406388,0
4006.233518,-49098.444242,51.961524,1417804.829552,195060.097847,-83.138439,0
45088.746623,-76757.563588,83.138439,1119500.647167,387956.864235,-81.406388,0
14014.023084,-110125.522396,74.478185,478156.874141,250499.580095,-98.726896,0
12538.315796,-113258.802307,69.282032,1246229.608605,344362.877459,-98.726896,0
19208.443456,-64115.324744,69.282032,162350.318346,89791.245915,-121.243557,0
116745.420583,-140105.589824,76.210236,1932400.588582,604395.6652,-128.17176,0
103758.503627,-91911.276104,91.798693,1387584.007061,260749.856775,-116.047404,0
8873.296287,-19431.87801,114.315353,167525.686159,32238.661681,-121.243557,0
5783.317646,-30641.710837,91.798693,1423631.448468,176061.232539,-98.726896,0
47394.106248,-66077.738309,88.334591,328001.925531,558030.397132,-91.798693,0
426910.686897,-144951.867984,86.60254,1225845.10265,1458568.645308,-71.014083,0
5679.394598,-12377.235071,64.08588,1058548.047198,94486.835654,-46.765372,0
93662.37947,-116078.581022,86.60254,457807.009203,433173.782617,-50.229473,0
6254.435466,-38642.053517,60.621778,351356.89862,289023.854157,-51.961524,0
22083.647797,-39892.5942,36.373067,1135035.41086,321111.827418,-64.08588,0
377032.819792,-67226.087994,71.014083,943863.767077,525060.81001,-51.961524,0
40452.046611,-21868.873496,74.478185,1299055.426185,142040.290576,-45.033321,0
129566.06066,-86945.486438,96.994845,2056980.074967,1253351.801525,-34.641016,0
71504.253489,-61486.071618,116.047404,3450669.561125,382464.531124,-34.641016,0
106916.03225,-296837.13535,83.138439,2466199.594916,844253.525133,-60.621778,0
37441.742307,-91448.818538,83.138439,1140212.510724,144215.746391,-83.138439,0
121996.998631,-122734.852275,88.334591,772822.017778,344634.809436,-109.119201,0
124286.769799,-64960.565538,91.798693,1100202.137069,476764.305291,-105.655099,0
119566.931348,-55051.502868,116.047404,2063132.319436,200313.407946,-93.530744,0
20356.793141,-210903.166584,86.60254,914581.716124,569164.019723,-88.334591,0
5190.95627,-17677.310542,86.60254,101144.838959,28973.745909,-98.726896,0
31192.502994,-42982.572841,96.994845,37547.397406,69455.237384,-119.511506,0
41073.852851,-90056.249689,93.530744,487541.125416,162591.073408,-138.564065,0
1091.192009,-15578.064963,88.334591,359507.929721,129467.333764,-116.047404,0
3945.61174,-78002.908119,81.406388,60571.548791,123794.867369,-119.511506,0
10679.825279,-94436.606181,58.889727,57465.981694,155746.008617,-133.367912,0
75957.356115,-34136.989366,74.478185,448945.837271,87383.695293,-114.315353,0
6803.495572,-7416.641558,109.119201,273502.946871,33484.006212,-121.243557,0
19293.313946,-53130.658522,119.511506,56610.348595,64778.700203,-128.17176,0
53586.187885,-89642.289546,138.564065,645213.174531,147023.40075,-119.511506,0
6015.412455,-66664.903533,109.119201,27317.905337,75080.938406,-155.884573,0
17240.833739,-46086.407888,103.923048,501446.029299,209843.151489,-155.884573,0
26664.922183,-26389.526104,105.655099,119412.778826,76838.969976,-133.367912,0
22804.180932,-65293.119293,98.726896,62450.823918,81117.135471,-140.296115,0
8743.392477,-37947.501143,98.726896,171706.856808,79537.505134,-121.243557,0
130080.47975,-174732.749569,103.923048,1052517.046286,431737.912498,-133.367912,0
4156.921938,-29647.513673,88.334591,237862.537403,54739.733722,-145.492268,0
9553.992255,-58415.145536,74.478185,682140.497748,229042.934691,-129.903811,0
18882.817904,-91895.687646,83.138439,215907.061367,141815.123971,-133.367912,0
5229.061388,-27911.998764,74.478185,187303.97433,47165.475541,-145.492268,0
2293.235269,-100782.84034,74.478185,249952.25204,110643.405587,-162.812776,0
13167.050239,-28516.484496,76.210236,151531.929002,63102.075021,-173.205081,0
27222.642543,-73497.843968,71.014083,250485.723689,103588.762648,-173.205081,0
29557.447031,-102433.48476,81.406388,161028.76358,167116.922168,-173.205081,0
14656.613934,-37526.612797,91.798693,190930.888722,175482.727569,-129.903811,0
11966.739029,-156883.965997,96.994845,77263.322424,169403.229234,-152.420471,0
3192.169638,-10340.343321,103.923048,352330.311174,21965.868342,-140.296115,0
6709.964829,-82750.459382,88.334591,35018.603227,113113.310039,-152.420471,0
36544.539989,-76353.99575,98.726896,107967.38709,79968.785785,-173.205081,0
11045.288,-27009.600293,96.994845,504229.434947,89943.666386,-150.68842,0
11951.150572,-52432.642047,96.994845,37765.635808,73897.947705,-155.884573,0
19372.988283,-25902.819827,116.047404,20995.919889,44269.486591,-138.564065,0
11672.290392,-49886.52736,103.923048,348822.908289,67515.340479,-143.760217,0
14182.032012,-11021.039289,109.119201,165849.060977,56076.876946,-133.367912,0
10497.959945,-92378.929822,91.798693,21378.703118,146870.980279,-138.564065,0
15150.248414,-28802.272879,88.334591,436553.013743,95806.65837,-129.903811,0
22239.532369,-58870.674898,76.210236,228346.650267,200545.502754,-110.851252,0
10449.462522,-93655.451267,65.817931,183924.743205,220358.431942,-129.903811,0
11405.554568,-60483.2142,81.406388,195434.220821,150660.707446,-114.315353,0
