K1,K2,K3,K4,K5,K6,K7,K8,score_class
-410486186.024729,-410504408.931275,1317231550.038853,1535203.233289,-3216.41835,-1318766356.632507,-62797.234079,57159.408701,1
-519528788.686654,-519698981.731057,535831718.644947,883728.695089,-71992.691817,-536727672.154635,-80514.38179,1.732051,1
-424331902.267695,-424372707.652671,346519301.499262,496592.822936,-19334.883165,-347015669.155593,-166167.758326,147226.050694,1
-432749845.861663,-433197608.708232,776060329.250213,1988979.760262,-124711.122247,-778240638.270882,-389617.900959,284058.064492,1
-68851964.826175,-68853800.816938,83948171.679347,-876.434615,-1572.71904,-83949719.162867,1340.960721,1.732051,1
-456736811.381638,-456745036.890923,126538491.274185,367740.367209,-2852.68768,-126909759.828889,-42272.43201,41570.951432,1
-446782408.817547,-446948872.756561,582839082.195835,698115.202346,-48500.886714,-583567083.934866,-72162.432796,1.732051,0
-450329163.897222,-450336731.2272,347806475.056907,511519.636796,-1905.255888,-348319492.917651,-52676.861211,50231.20547,1
-432820442.520528,-433172045.370363,794918823.964838,813492.302791,-77945.750442,-795832818.515738,-329721.851983,204383.727344,1
-432893128.032668,-433114459.877164,522943717.379365,583347.783786,-61113.680694,-523580317.06523,-100625.223717,17322.240126,1
-432966887.416308,-433055045.338312,571978706.208134,666216.022623,-29448.32783,-572653870.005229,-378932.879527,341215.741142,1
-361945107.072195,-362050559.521513,346497635.27571,445992.690644,-32744.420517,-346960271.242564,-49630.18384,1.732051,0
-346405290.986905,-346413660.256407,291620520.479399,573036.885329,-2149.475052,-292195033.072016,-1441.066272,1.732051,1
-389624742.560079,-389795406.722301,732642012.263568,971751.517129,-71992.691817,-733624928.580203,-89391.142179,8661.986089,1
-372308961.251044,-372470171.879958,154582668.031436,382424.693956,-71992.691817,-154973001.269379,-158905.26929,83140.170814,1
-389674636.015641,-389746924.888146,504036856.877989,974843.227821,-27279.800219,-505015344.340709,-237315.209348,204383.727344,1
-389671630.90749,-389750738.864024,245244087.612082,297431.228777,-38595.288145,-245542369.277806,-38378.781794,1.732051,1
-380866371.308087,-381203068.128672,1079473896.972071,1736235.44232,-77945.750442,-1081309642.197388,-330811.311941,213043.981382,1
-432916857.128732,-433106371.199893,417463425.345417,709629.876115,-71454.024015,-418195843.814008,-191188.964292,100460.67889,1
-389688085.390162,-389733201.849598,310054321.532161,480534.979899,-18893.210209,-310539003.041694,-88706.98211,69283.764354,1
-432995509.555903,-433028548.425058,441850655.682666,620864.004278,-10002.593414,-442474777.674513,-126365.230768,112585.034543,1
-398319867.976832,-398421024.940146,453821965.594241,806860.280249,-28455.862718,-454649234.629155,-142830.105745,96996.577275,1
-346403262.755409,-346415775.090443,182243102.004066,367054.475089,-2824.974867,-182613566.887195,-33191.289625,29446.595779,1
-389694239.366681,-389727278.235836,447474596.942029,844838.958306,-10002.593414,-448322473.917452,-157391.456884,143761.949079,1
-311725435.328218,-311810892.983013,121358543.918834,284090.973457,-29671.762384,-121655982.075815,-39362.586653,1.732051,0
-358522032.544537,-358546849.368507,377665319.713196,557607.776735,-10541.261215,-378220625.594408,-11419.410974,1.732051,1
-346330455.999713,-346488484.851294,1140802284.416489,1422474.438529,-51608.185862,-1142247717.188472,-121441.010322,45035.053048,1
-432881251.36028,-433124930.124296,705230789.225232,489600.533826,-55591.90272,-705790215.655315,-216831.976498,124709.390196,1
-361950400.219463,-362044822.969238,112856964.787522,373700.354038,-26259.622294,-113250928.403958,-119759.188988,76211.967584,0
-259790605.468198,-259822265.62491,1129596605.04774,727833.730103,-7563.865877,-1130330613.538971,-270977.616793,259809.353186,1
-346405947.434161,-346413687.96922,527165250.008805,905032.920022,-2213.560932,-528070274.268573,-140115.982129,138565.796656,1
-346328081.358056,-346485306.538062,646660980.212302,746799.686445,-48500.886714,-647438667.560799,-67702.401966,1.732051,1
-346350532.200623,-346462855.695494,708352090.272739,996777.919248,-43304.734291,-709367936.339327,-209262.914469,164546.55877,1
-346230100.975922,-346548645.904044,578714901.214086,580793.008845,-110854.715786,-579421047.936026,-137708.431507,41570.951432,1
-363691360.696386,-363768274.144547,405887109.620509,697787.844744,-36341.890044,-406586561.966079,-35333.836474,1.732051,1
-346383035.866078,-346435899.788776,465013260.281033,426543.492126,-22168.518286,-465443635.069545,-99920.279038,76211.967584,1
-346403782.370651,-346415730.057122,696414898.297972,560557.45926,-2355.589098,-696975838.540461,-4136.137328,1.732051,0
-363722360.94174,-363737571.811932,425090912.912334,420173.009256,-3089.978641,-425514238.25406,-101848.051587,96996.577275,0
-372244665.793016,-372518121.974515,406768796.227695,360976.708805,-95266.258518,-407193200.637074,-211164.706256,103924.780505,0
-346358336.821562,-346459746.664295,351325101.631467,580935.037011,-28216.839706,-351926221.988589,-117514.451141,71015.815161,1
-294402019.139223,-294492885.98869,297979286.025924,476632.66943,-23150.591094,-298477030.662648,-93040.57323,51963.256278,1
-346400209.149835,-346417919.369343,331598721.29049,175633.415989,-3923.095079,-331780015.048518,-22367.704129,17322.240126,0
-346378565.442944,-346440739.138732,201916602.833888,414077.922464,-28727.794694,-202332603.332748,-70385.348667,41570.951432,0
-346375638.277079,-346443212.507285,718746785.348267,968498.725713,-27449.541198,-719718855.562745,-82766.04784,51963.256278,1
-346360235.149247,-346457732.289205,217018423.107113,533658.710218,-42189.293571,-217560494.388104,-44496.385246,1.732051,1
-328928311.173311,-329226740.063353,606207577.405749,502698.302033,-69285.496404,-606797716.560751,-274921.496482,162814.507962,1
-329031130.905401,-329145752.831693,350451406.706706,833151.079457,-31864.538707,-351306934.150546,-275990.17183,223436.286227,1
-346217150.432034,-346568524.651162,405059106.196052,914741.064798,-93534.20771,-406080191.716334,-264821.908223,142029.898271,1
-329026710.71174,-329126733.181775,396158647.888113,716455.888348,-58768.483901,-396926717.158475,-169555.649705,159350.406347,1
-337746604.455041,-337752961.081505,112879031.114811,185772.841417,-1941.628955,-113066097.79818,-40335.999207,38106.849817,0
-181811904.49142,-181916892.751121,250771021.901866,678679.860235,-52098.356241,-251453259.39446,-248034.871796,199187.574921,1
-346381470.092148,-346438127.206114,157166681.722282,410787.025929,-26703.0273,-157579306.454119,-66559.248433,39838.900625,1
-329054863.465566,-329122844.727712,176268318.265173,686290.491483,-29308.031715,-176957781.873735,-174369.0189,143761.949079,1
-337744408.214617,-337754393.487523,610300749.481891,565504.196366,-2558.239043,-610868413.545614,-82417.905627,79676.069199,0
-320377507.158047,-320455303.95212,549034319.226911,595562.206081,-45036.785098,-549680230.417917,-7775.176075,8661.986089,0
-68851959.64693,-68854758.641035,213163207.099118,109117.468826,-871.221556,-213272932.517778,-34938.92889,34642.748202,1
-320419180.300478,-320438063.118382,410979778.935667,475827.265805,-5016.019139,-411459856.654153,-73825.201571,67551.713546,1
-320425737.844835,-320431692.635512,225975195.58296,94398.501063,-3093.442742,-226071987.778239,-52340.843354,51963.256278,1
-311762263.924539,-311774293.017398,387641442.194414,1245890.126646,-3462.369564,-388890411.907397,-30407.883978,27714.544972,1
-242484135.664305,-242489056.420649,242625654.607588,209889.916861,-1494.759847,-242837839.491769,-640.858799,1.732051,0
-346404565.257616,-346413869.834554,287711096.47728,492091.222888,-3616.522086,-288206208.396776,-23713.507606,22518.392549,0
-346308180.094277,-346494815.496995,238714869.213534,139967.02576,-48500.886714,-238913462.695028,-66922.979103,1.732051,1
-304736438.846648,-304922921.828895,82004508.400861,248712.103662,-51964.988329,-82323209.213555,-135013.36045,76211.967584,0
-311731800.614936,-311805816.342096,214844226.493744,92266.346519,-19722.862546,-214954925.324957,-85809.261109,50231.20547,1
-311766581.927203,-311771421.277159,505254256.500902,497834.703365,-2016.10714,-505750709.027723,-1508.616253,1.732051,1
-308217254.752079,-308391093.763431,268381419.857116,314159.375477,-60625.242367,-268720733.806471,-177168.013005,93532.47566,1
-320272123.990763,-320529510.204869,923633515.835177,2923996.211814,-96998.309325,-926686525.583443,-105927.031238,64087.611931,1
-303103871.841313,-303113450.082279,507453287.25875,1154089.701794,-2189.312221,-508608701.979413,-50168.851641,46767.103855,1
-303103608.56959,-303113353.087434,343518772.890465,199350.387697,-2549.578789,-343721277.342683,-3273.576026,1.732051,1
-242405268.462833,-242555094.321789,551258386.779183,1235539.39102,-50232.937521,-552540816.249666,-70608.783221,17322.240126,1
-294355075.366186,-294511015.364493,127799528.185144,452643.765745,-60625.242367,-128341284.232888,-102771.234667,72747.865969,1
-294419814.22922,-294476119.736873,196994168.132352,240789.703268,-18657.651299,-197243616.357608,-26006.742876,1.732051,0
-251129901.097144,-251163177.257259,176963996.472033,211886.971442,-10312.630508,-177183705.384922,-13709.182142,1.732051,0
-303087987.203357,-303128435.785866,278992508.700287,222852.585105,-18676.703858,-279217181.670791,-156036.993152,138565.796656,1
-302909168.545933,-303295975.328431,173543514.824433,337923.112557,-163323.7309,-173925477.060823,-177599.293656,3465.833666,0
-308281868.907455,-308326952.457925,173514722.943858,764028.395828,-18583.173114,-174281662.917094,-153009.368341,133369.644234,1
-303106946.231497,-303110625.107412,152845497.28168,251128.314539,-1439.334221,-153096909.652551,-1376.980392,1.732051,0
-303061325.745276,-303155102.440099,260056776.644,341229.597548,-41188.168204,-260403446.613135,-44435.763468,1.732051,0
-303103125.327415,-303113985.285979,617394673.601384,598969.150019,-2400.622419,-617995128.850996,-207887.666128,204383.727344,1
-303043916.902609,-303165906.973037,628078945.055276,215609.148628,-40864.274703,-628332470.528133,-161011.443072,112585.034543,1
-346312059.888086,-346494399.804802,540449095.898,934219.70818,-50232.937521,-541442901.618062,-100779.376238,31178.646587,1
-294302874.818947,-294574865.685463,268596980.508321,421849.634437,-64563.925903,-269086329.894781,-197784.613767,91800.424852,0
